BID,52.1404666667,-1.84755,Bidford,
BIE,51.8770666667,-1.09335,Bicester East,
BIF,54.2776,-3.2117,Broughton-in-Furness,
BIG,52.0773166667,-0.26105,Biggleswade,
BIL,53.0782833333,-0.273833333333,Billinghay,
BIN,51.1147166667,0.643466666667,Biddenden,
BIR,51.8437333333,-2.09533333333,Birdlip,
BIS,54.6671166667,-1.68336666667,Bishop Auckland,
BLA,51.6221833333,-1.88916666667,Blakehill Farm,
BLD,50.8535833333,-2.1541,Blandford,
BLE,51.8693166667,-1.37838333333,Blenheim N,
BLF,52.99565,-3.94185,Blaenau Ffestiniog,
BLG,56.6492,-3.67195,Ballinluig,
BLH,56.0081,-4.59071666667,Balloch,
BLI,53.1201166667,-1.06368333333,Blidworth,
BLK,52.9732,0.9742,Blakeney Point,
BLN,54.8470666667,-2.054,Blanchland,
BLO,53.1976833333,-1.32298333333,Bolsover SW,
BLR,56.7713833333,-3.85721666667,Blair Atholl,
BLS,53.4965333333,-1.4748,Barnsley S,
BLW,53.54905,-1.51578333333,Barnsley W,
BLY,52.0009666667,-0.708766666667,Bletchley,
BMA,56.0836666667,-4.5487,Balmaha,
BMM,51.8084333333,-3.86863333333,Brynamman,
BMR,57.0033166667,-3.34303333333,Braemar East,
BNK,51.5567666667,-1.98255,Brinkworth,
BNV,56.7967,-5.00348333333,Ben Nevis,
BNW,51.94845,-1.20526666667,Bicester North West,
BO1,51.5730166667,-0.870133333333,Booker SW,
BO2,51.6066833333,-0.846183333333,Booker W,
BO3,51.61765,-0.8371,Booker NW,
BO4,51.6165333333,-0.8898,Turville Windmill,
BOA,57.4056,-3.36123333333,Bridge of Avon,
BOB,51.6270333333,-0.85925,Booker M40 Bridge,
BOC,56.6467666667,-3.4034,Bridge of Cally,
BOD,51.0016333333,0.543233333333,Bodiam,
BOG,56.6781333333,-4.44848333333,Bridge of Gaur,
BOL,54.2785,-3.37131666667,Bootle,
BOM,50.4337166667,-4.77496666667,Bodmin SW,
BON,52.0155166667,-4.63555,Boncath,
BOO,51.6085333333,-0.815516666667,Booker Airfield,
BOR,54.0853833333,-1.39981666667,Boroughbridge,
BOS,52.97195,-0.05885,Boston,
BOT,52.9434333333,-0.800233333333,Bottesford,
BOU,52.76805,-0.377283333333,Bourne,
BOV,50.6283,-3.68953333333,Bovey Tracey,
BOW,51.8867166667,-1.7685,Bourton-on-the-water,
BOZ,52.2218833333,-0.683916666667,Bozeat,
BPL,51.0363333333,-4.03951666667,Barnstaple,
BRC,52.0211666667,-1.14931666667,Brackley South,
BRD,54.6524333333,-1.51223333333,Bradbury,
BRE,51.9411333333,-3.3587,Brecon,
BRF,51.3446666667,-2.25208333333,Bradford-on-avon,
BRG,53.0756666667,-3.52938333333,Brenig,
BRH,54.52475,-2.31855,Brough,
BRI,52.5276666667,-2.4174,Bridgnorth,
BRK,50.9488,0.598016666667,Broad Oak,
BRL,51.8188166667,-1.0497,Brill,
BRM,52.3227,-2.04631666667,Bromsgrove,
BRN,53.7437333333,-1.08385,Burn,
BRO,52.0363666667,-1.85593333333,Broadway,
BRP,54.93755,-2.69561666667,Brampton,
BRR,58.0117833333,-3.85336666667,Brora,
BRS,57.0049666667,-3.406,Braemar Stadium,
BRT,50.5921833333,-4.15166666667,Brent Tor,
BRU,51.1107166667,-2.44993333333,Bruton,
BRW,54.1240666667,-3.26628333333,Barrow,
BRY,52.191,-2.50566666667,Bromyard,
BS1,52.2314,0.709016666667,Bury St Edmunds S,
BS2,52.2788,0.716316666667,Bury St Edmunds N,
BSE,52.25325,0.7209,Bury St Edmunds,
BSN,51.3294833333,-1.06098333333,Basingstoke N,
BSS,56.3193833333,-6.24836666667,Bunessan Pier,
BSW,51.9125,-3.47385,Brecon SW,
BTE,54.6738166667,-3.19928333333,Bassenthwaite Lake NE,
BTH,54.6682333333,-3.24486666667,Bassenthwaite Lake NW,
BTL,50.9128666667,0.493,Battle,
BTN,54.0830333333,-0.205983333333,Bridlington,
BTR,57.0470166667,-3.03638333333,Ballater,
BTT,54.541,-3.27668333333,Buttermere,
BUB,51.3444666667,-1.66988333333,Burbage,
BUC,51.9981333333,-0.98895,Buckingham,
BUG,52.1209,-2.59601666667,Burley Gate,
BUH,54.7435,-2.23793333333,Burnhope Reservoir,
BUI,52.1504,-3.40115,Builth Wells,
BUK,50.48755,-3.7688,Buckfastleigh,
BUL,51.1751,-1.33893333333,Bullington,
BUN,52.4638666667,1.44181666667,Bungay,
BUS,53.6495333333,-0.684816666667,Burton upon Stather,
BUT,50.9772166667,-0.981933333333,Butser Hill,
BUX,53.2594833333,-1.9073,Buxton,
BUY,57.47605,-4.46246666667,Beauly,
BVR,52.88745,-0.7673,Belvoir,
BVT,50.7122,-2.22161666667,Bovington,
BWL,52.73895,-3.20473333333,Bwlch,
CAB,52.1291666667,0.2221,Cambridge se,
CAC,51.1698833333,-1.13346666667,Candover Church,
CAD,56.2429333333,-4.21741666667,Callander,
CAE,51.2615666667,1.13613333333,Canterbury East,
CAH,54.1215333333,-0.905083333333,Castle Howard,
CAI,56.8797333333,-3.42098333333,Cairnwell,
CAL,51.9245166667,-1.01155,Calvert Rail Junction,
CAM,52.2622833333,0.1968,Cambridge North,
CAN,52.6890166667,-2.10351666667,Cannock,
CAO,55.0799,-2.94886666667,Canonbie,
CAR,54.4081333333,-1.20191666667,Carlton,
CAS,52.1565833333,0.1353,Cambridge South,
CAT,51.2798,1.08288333333,Canterbury,
CAW,52.2144333333,0.07805,Cambridge West,
CAX,52.22865,-0.103583333333,Caxton Gibbet,
CBA,55.3557666667,-2.48436666667,Carter Bar,
CBC,53.4844,-1.22575,Conisbrough Castle,
CBG,56.5473166667,-5.29121666667,Creagan Bridge,
CBK,50.6878666667,-1.3129,Carisbrooke Castle,
CBN,51.1450333333,-1.43815,Chilbolton,
CBR,57.2837833333,-3.8161,Carrbridge,
CCC,51.8543833333,-3.9353,Carreg Cennen Castle,
CCK,54.8875,-2.71238333333,Castle Carrock Dam NW,
CCL,51.8563833333,-3.14186666667,Crickhowell,
CCR,53.1437333333,-1.44785,Clay Cross Reservoir,
CDO,54.9303333333,-3.95163333333,Castle Douglas SW,
CDS,55.0497333333,-4.27741666667,Clattershaws Dam S,
CER,50.8079,-2.48136666667,Cerne Abbas,
